coin,x_roi,x_exit_signal,x_stop_loss,profit_pct,cagr_pct,sharpe,pval,pf,mkt_change_pct,maxdd_pct,sharpe_d,calmar,trades,avg_profit_pct,dur,wins,losses,win_pct,error,years,vol1h,edge12,t,n,vol_2026_musd,fund_up_apy,pct_time_up,h1_profit_pct,h1_pf,h2_profit_pct,h2_pf,liq_ok,hist_ok,wf_ok
AAVE,28.0,161.0,21.0,-0.03,-0.01,-0.0,0.9903,1.0,-65.45,1.71,-0.0,-0.02,210.0,-0.0,2:57:00,132.0,78.0,62.9,,4.5,0.488,-0.058,-0.13,332,73.4,10.72,36.3,,,,,False,True,False
ADA,19.0,139.0,13.0,2.72,0.6,0.22,0.149,1.37,-89.14,1.06,0.69,2.99,171.0,0.16,2:27:00,122.0,49.0,71.3,,4.5,0.407,0.297,1.68,262,184.8,13.73,26.3,2.11,1.58,0.61,1.17,True,True,True
ALGO,27.0,110.0,13.0,1.75,0.39,0.12,0.3954,1.2,-94.96,1.53,0.42,1.33,150.0,0.12,2:54:00,103.0,47.0,68.7,,4.5,0.468,1.294,4.7,234,17.4,13.4,26.0,,,,,False,True,False
APT,23.0,81.0,15.0,-0.6,-0.17,-0.05,0.7554,0.93,-89.09,1.99,-0.15,-0.44,119.0,-0.05,2:38:00,72.0,47.0,60.5,,3.7,0.493,0.055,0.1,181,38.0,14.77,26.8,,,,,False,True,False
ATOM,22.0,142.0,12.0,2.93,0.64,0.24,0.1292,1.36,-95.46,1.19,0.69,2.86,176.0,0.18,2:51:00,123.0,53.0,69.9,,4.5,0.425,-0.26,-1.77,261,18.9,7.68,27.5,2.66,1.59,0.28,1.08,False,True,True
AVAX,23.0,141.0,21.0,-3.2,-0.72,-0.22,0.1657,0.75,-94.05,4.11,-0.62,-0.91,185.0,-0.18,2:59:00,116.0,69.0,62.7,,4.5,0.448,0.022,-0.01,300,127.1,13.3,29.7,,,,,True,True,False
BCH,28.0,177.0,16.0,-2.0,-0.45,-0.16,0.3682,0.84,-54.1,3.14,-0.45,-0.74,221.0,-0.09,3:17:00,130.0,91.0,58.8,,4.5,0.357,0.104,0.78,361,107.0,-1.06,35.0,,,,,True,True,False
BNB,3.0,236.0,6.0,-0.92,-0.21,-0.12,0.5106,0.88,7.46,1.71,-0.31,-0.63,245.0,-0.04,3:20:00,153.0,92.0,62.4,,4.5,0.26,0.098,1.23,379,347.4,-4.62,42.1,,,,,True,True,False
BTC,4.0,246.0,5.0,-0.4,-0.09,-0.06,0.7557,0.93,28.2,1.71,-0.14,-0.27,255.0,-0.02,3:01:00,166.0,89.0,65.1,,4.5,0.211,0.142,1.96,375,11918.3,9.9,42.1,-1.03,0.71,0.63,1.24,True,True,False
CHZ,32.0,165.0,16.0,3.32,0.73,0.25,0.1453,1.31,-93.49,1.61,0.69,2.41,213.0,0.16,2:45:00,143.0,70.0,67.1,,4.5,0.465,0.805,3.74,314,24.0,7.13,31.9,1.79,1.28,1.54,1.35,False,True,True
CRV,28.0,98.0,25.0,-2.98,-0.67,-0.18,0.2143,0.76,-96.58,4.1,-0.59,-0.85,151.0,-0.2,2:46:00,81.0,70.0,53.6,,4.5,0.548,-0.169,-0.66,241,34.6,9.59,28.1,,,,,False,True,False
DOGE,18.0,143.0,18.0,-0.89,-0.2,-0.07,0.6751,0.91,-57.81,2.5,-0.18,-0.42,179.0,-0.05,2:52:00,112.0,67.0,62.6,,4.5,0.392,0.325,1.64,279,508.9,14.37,31.4,,,,,True,True,False
DOT,13.0,116.0,11.0,-0.4,-0.09,-0.03,0.8202,0.95,-96.99,1.9,-0.1,-0.25,140.0,-0.03,2:41:00,88.0,52.0,62.9,,4.5,0.407,-0.03,-0.42,201,77.3,11.01,24.6,,,,,False,True,False
DYDX,36.0,100.0,26.0,-1.04,-0.23,-0.06,0.6833,0.92,-98.09,2.45,-0.19,-0.49,162.0,-0.07,2:30:00,103.0,59.0,63.6,,4.5,0.577,0.286,0.98,252,11.5,12.06,28.3,,,,,False,True,False
EGLD,19.0,92.0,8.0,4.02,0.88,0.33,0.01145,1.9,-98.92,0.82,1.16,5.72,119.0,0.35,2:22:00,88.0,31.0,73.9,,4.5,0.444,0.675,2.49,165,3.7,15.6,22.2,2.32,1.96,1.7,1.83,False,True,True
ENA,21.0,50.0,8.0,2.87,1.3,0.39,0.0743,1.64,-92.2,0.73,1.25,9.48,79.0,0.38,2:25:00,59.0,20.0,74.7,,2.2,0.704,1.586,3.23,116,103.2,-4.84,25.0,,,,,True,False,False
