coin,vol_med_musd,vol_2026_musd,fund_all_apy,fund_up_apy,pct_time_up
BTC,13173.6,11918.3,6.6,9.9,42.1
ETH,7676.5,9808.2,6.04,10.71,37.7
SOL,1863.8,1991.6,-5.35,11.79,36.2
XRP,680.6,700.8,5.53,11.14,34.0
DOGE,554.5,508.9,7.2,14.37,31.4
BNB,418.3,347.4,-5.68,-4.62,42.1
SUI,351.5,192.6,5.51,11.68,35.1
ADA,295.6,184.8,5.4,13.73,26.3
TAO,119.2,135.4,1.54,2.04,27.7
AVAX,250.6,127.1,2.82,13.3,29.7
LINK,232.8,120.6,8.11,12.82,36.0
NEAR,155.5,107.6,4.48,12.45,34.4
BCH,127.4,107.0,-4.74,-1.06,35.0
ENA,243.1,103.2,-7.57,-4.84,25.0
FIL,134.6,100.1,6.88,17.78,24.1
WLD,199.8,85.8,4.27,16.37,29.3
DOT,146.8,77.3,-1.02,11.01,24.6
AAVE,96.3,73.4,6.98,10.72,36.3
LTC,202.1,73.1,7.34,12.86,34.4
UNI,78.8,61.5,8.36,13.28,33.2
TRX,68.2,52.1,-4.66,2.15,52.8
XLM,45.6,42.2,3.07,10.39,29.4
APT,115.5,38.0,-1.47,14.77,26.8
CRV,99.4,34.6,2.4,9.59,28.1
ONDO,106.8,34.1,3.0,13.01,32.4
HBAR,32.9,33.0,4.13,11.14,27.2
ICP,34.1,29.9,5.32,13.18,25.3
TON,68.4,29.7,2.85,3.36,28.5
ETC,111.0,26.9,4.89,14.3,28.7
INJ,83.5,26.9,-1.84,1.65,39.2
RENDER,37.6,25.7,2.09,4.28,30.1
TIA,117.7,25.6,-1.4,-2.25,22.8
GALA,88.5,25.0,6.64,19.07,22.8
CHZ,35.6,24.0,2.05,7.13,31.9
SEI,67.2,20.5,-5.1,12.31,30.6
ATOM,73.7,18.9,-2.18,7.68,27.5
ALGO,36.6,17.4,6.0,13.4,26.0
POL,24.8,16.2,-0.71,5.94,22.9
LDO,63.7,15.6,8.42,14.94,30.6
ORDI,121.0,14.8,6.31,12.18,27.5
SAND,57.6,12.0,4.84,15.24,21.4
DYDX,68.4,11.5,6.77,12.06,28.3
STX,43.4,5.5,7.38,19.99,29.9
MANA,31.8,5.1,4.84,14.02,24.1
RUNE,42.9,5.0,4.74,5.71,30.7
GRT,26.5,4.8,6.39,13.92,24.8
IMX,21.2,4.2,-0.21,6.05,29.5
EGLD,17.0,3.7,8.21,15.6,22.2
MATIC,279.9,,7.64,15.04,27.3
