coin,years,vol1h,n,fwd1,fwd4,fwd12,edge12,t,hit2,undec,fund
ENA,2.2,0.704,116,0.273,0.867,1.564,1.586,3.23,77.2,15.0,-7.57
ALGO,4.5,0.468,234,0.105,0.265,1.262,1.294,4.7,81.7,59.0,6.0
MATIC,2.7,0.414,153,0.106,0.373,0.881,0.919,2.67,85.3,51.0,7.64
ONDO,2.4,0.596,150,0.165,0.314,0.99,0.872,2.07,71.3,28.0,3.0
CHZ,4.5,0.465,314,0.086,0.378,0.783,0.805,3.74,83.0,91.0,2.05
EGLD,4.5,0.444,165,0.267,0.392,0.592,0.675,2.49,81.5,57.0,8.21
SAND,4.5,0.45,176,0.027,-0.057,0.575,0.657,1.06,66.4,39.0,4.84
XRP,4.5,0.334,238,0.081,0.369,0.707,0.655,3.16,79.0,100.0,5.53
ETC,4.5,0.374,237,0.13,0.151,0.653,0.652,2.95,80.4,84.0,4.89
MANA,4.5,0.451,210,-0.037,0.084,0.567,0.627,1.78,71.9,75.0,4.84
STX,3.4,0.518,210,0.028,0.249,0.624,0.603,1.72,70.7,43.0,7.38
GRT,4.5,0.511,209,0.088,0.216,0.545,0.583,2.12,80.7,69.0,6.39
SUI,3.2,0.537,232,0.179,0.38,0.58,0.532,2.43,81.0,58.0,5.51
LINK,4.5,0.436,300,0.12,0.248,0.545,0.522,3.42,83.1,117.0,8.11
SOL,4.5,0.447,304,0.12,0.432,0.539,0.5,3.1,84.3,107.0,-5.35
WLD,2.9,0.631,140,0.354,0.47,0.457,0.416,1.14,76.2,14.0,4.27
INJ,3.9,0.585,306,0.196,0.402,0.504,0.391,2.26,81.0,64.0,-1.84
DOGE,4.5,0.392,279,0.015,0.133,0.356,0.325,1.64,72.8,99.0,7.2
ADA,4.5,0.407,262,0.065,0.358,0.285,0.297,1.68,80.1,86.0,5.4
DYDX,4.5,0.577,252,0.122,0.177,0.255,0.286,0.98,74.6,47.0,6.77
NEAR,4.5,0.54,346,0.141,0.123,0.299,0.284,1.23,79.8,84.0,4.48
IMX,4.4,0.577,286,0.167,0.095,0.25,0.262,1.02,78.7,65.0,-0.21
SEI,2.9,0.573,167,0.118,0.498,0.259,0.236,0.6,69.1,31.0,-5.1
HBAR,4.5,0.448,237,0.047,0.111,0.23,0.211,0.81,73.3,76.0,4.13
RUNE,4.5,0.491,335,0.052,-0.04,0.166,0.171,0.78,74.3,117.0,4.74
XLM,4.5,0.366,221,-0.038,0.189,0.191,0.156,0.84,71.8,97.0,3.07
BTC,4.5,0.211,375,0.049,0.082,0.167,0.142,1.96,83.3,297.0,6.6
LDO,3.8,0.554,233,0.027,0.082,0.132,0.119,0.47,73.6,55.0,8.42
BCH,4.5,0.357,361,0.019,0.045,0.125,0.104,0.78,76.1,164.0,-4.74
BNB,4.5,0.26,379,0.052,0.065,0.123,0.098,1.23,82.5,276.0,-5.68
GALA,4.5,0.542,195,0.162,0.3,0.022,0.093,0.09,76.4,34.0,6.64
APT,3.7,0.493,181,0.031,-0.017,0.03,0.055,0.1,70.2,50.0,-1.47
AVAX,4.5,0.448,300,0.014,-0.142,-0.001,0.022,-0.01,73.4,112.0,2.82
ETH,4.5,0.282,334,0.017,0.036,-0.006,-0.012,-0.06,74.4,209.0,6.04
TRX,4.5,0.19,537,-0.045,-0.079,0.048,-0.017,0.49,75.4,419.0,-4.66
FIL,4.5,0.443,188,0.084,0.011,-0.072,-0.023,-0.25,74.0,42.0,6.88
TON,2.3,0.397,123,-0.055,0.028,-0.014,-0.03,-0.05,74.7,48.0,2.85
DOT,4.5,0.407,201,0.145,-0.094,-0.088,-0.03,-0.42,76.7,81.0,-1.02
ICP,4.4,0.473,212,0.078,-0.066,-0.043,-0.032,-0.16,71.2,59.0,5.32
AAVE,4.5,0.488,332,0.062,-0.059,-0.023,-0.058,-0.13,75.7,114.0,6.98
UNI,4.5,0.467,296,-0.014,0.061,-0.058,-0.072,-0.35,77.1,95.0,8.36
LTC,4.5,0.343,328,0.084,0.216,-0.123,-0.125,-0.75,75.1,147.0,7.34
CRV,4.5,0.548,241,-0.026,-0.13,-0.188,-0.169,-0.66,72.5,59.0,2.4
TIA,2.7,0.639,114,0.059,0.297,-0.215,-0.226,-0.57,67.0,14.0,-1.4
ATOM,4.5,0.425,261,0.117,0.201,-0.304,-0.26,-1.77,77.7,104.0,-2.18
TAO,2.2,0.628,115,0.11,-0.133,-0.247,-0.264,-0.5,73.2,33.0,1.54
ORDI,2.6,0.624,130,0.092,0.035,-0.888,-0.971,-2.28,74.1,22.0,6.31
POL,1.7932648401826483,,-1,,,,,,,,
RENDER,1.9277397260273972,,-1,,,,,,,,
