coin,x_roi,x_exit_signal,x_stop_loss,profit_pct,cagr_pct,sharpe,pval,pf,mkt_change_pct,maxdd_pct,sharpe_d,calmar,trades,avg_profit_pct,dur,wins,losses,win_pct
SOL,21,90,8,3.61,1.59,0.56,0.02995,1.72,17.33,0.72,1.46,11.65,119,0.3,2:28:00,87,32,73.1
SUI,15,30,3,2.73,3.2,1.08,0.0153,2.5,97.95,0.42,2.44,39.68,48,0.57,2:00:00,35,13,72.9
NEAR,25,84,8,5.02,2.2,0.77,0.002769,2.07,-50.15,0.76,1.88,15.5,117,0.44,2:26:00,87,30,74.4
ADA,8,91,6,2.11,0.93,0.38,0.1114,1.58,-51.12,0.52,1.12,9.41,105,0.21,2:23:00,76,29,72.4
LINK,7,100,7,0.71,0.32,0.13,0.6148,1.16,-3.92,1.55,0.34,1.07,114,0.06,2:52:00,82,32,71.9
XRP,11,74,6,1.04,0.46,0.17,0.4352,1.27,-24.68,0.81,0.61,2.98,91,0.11,2:25:00,61,30,67.0
INJ,29,77,11,3.6,2.28,0.71,0.05341,1.6,2423.69,1.04,1.53,11.52,117,0.31,2:28:00,82,35,70.1
EGLD,11,58,4,2.32,1.02,0.41,0.04379,1.96,-75.22,0.77,1.32,7.05,73,0.33,2:28:00,53,20,72.6
IMX,23,77,7,2.9,1.39,0.45,0.08597,1.52,109.06,2.47,1.06,2.95,107,0.27,2:54:00,72,35,67.3
CHZ,17,94,10,1.79,0.79,0.26,0.317,1.28,-48.17,1.44,0.67,2.89,121,0.15,2:29:00,83,38,68.6
ATOM,15,88,7,2.66,1.17,0.45,0.07139,1.59,-63.21,0.57,1.13,10.9,110,0.26,2:41:00,78,32,70.9
ETC,15,73,8,0.8,0.35,0.12,0.6137,1.15,-0.57,1.56,0.3,1.19,96,0.08,2:38:00,68,28,70.8
HBAR,11,65,10,-0.27,-0.12,-0.04,0.8678,0.95,-60.4,2.4,-0.09,-0.22,86,-0.03,2:40:00,53,33,61.6
BTC,3,110,3,-1.03,-0.46,-0.27,0.2837,0.71,52.7,1.58,-0.72,-1.52,116,-0.09,3:02:00,72,44,62.1
ETH,3,105,8,-1.71,-0.76,-0.32,0.2099,0.68,-2.47,2.57,-0.87,-1.55,116,-0.15,3:05:00,74,42,63.8
