coin,x_roi,x_exit_signal,x_stop_loss,profit_pct,cagr_pct,sharpe,pval,pf,mkt_change_pct,maxdd_pct,sharpe_d,calmar,trades,avg_profit_pct,dur,wins,losses,win_pct,error
AAVE,28.0,161.0,21.0,-0.03,-0.01,-0.0,0.9903,1.0,-65.45,1.71,-0.0,-0.02,210.0,-0.0,2:57:00,132.0,78.0,62.9,
ADA,19.0,139.0,13.0,2.72,0.6,0.22,0.149,1.37,-89.14,1.06,0.69,2.99,171.0,0.16,2:27:00,122.0,49.0,71.3,
ALGO,27.0,110.0,13.0,1.75,0.39,0.12,0.3954,1.2,-94.96,1.53,0.42,1.33,150.0,0.12,2:54:00,103.0,47.0,68.7,
APT,23.0,81.0,15.0,-0.6,-0.17,-0.05,0.7554,0.93,-89.09,1.99,-0.15,-0.44,119.0,-0.05,2:38:00,72.0,47.0,60.5,
ATOM,22.0,142.0,12.0,2.93,0.64,0.24,0.1292,1.36,-95.46,1.19,0.69,2.86,176.0,0.18,2:51:00,123.0,53.0,69.9,
AVAX,23.0,141.0,21.0,-3.2,-0.72,-0.22,0.1657,0.75,-94.05,4.11,-0.62,-0.91,185.0,-0.18,2:59:00,116.0,69.0,62.7,
BCH,28.0,177.0,16.0,-2.0,-0.45,-0.16,0.3682,0.84,-54.1,3.14,-0.45,-0.74,221.0,-0.09,3:17:00,130.0,91.0,58.8,
BNB,3.0,236.0,6.0,-0.92,-0.21,-0.12,0.5106,0.88,7.46,1.71,-0.31,-0.63,245.0,-0.04,3:20:00,153.0,92.0,62.4,
BTC,4.0,246.0,5.0,-0.4,-0.09,-0.06,0.7557,0.93,28.2,1.71,-0.14,-0.27,255.0,-0.02,3:01:00,166.0,89.0,65.1,
CHZ,32.0,165.0,16.0,3.32,0.73,0.25,0.1453,1.31,-93.49,1.61,0.69,2.41,213.0,0.16,2:45:00,143.0,70.0,67.1,
CRV,28.0,98.0,25.0,-2.98,-0.67,-0.18,0.2143,0.76,-96.58,4.1,-0.59,-0.85,151.0,-0.2,2:46:00,81.0,70.0,53.6,
DOGE,18.0,143.0,18.0,-0.89,-0.2,-0.07,0.6751,0.91,-57.81,2.5,-0.18,-0.42,179.0,-0.05,2:52:00,112.0,67.0,62.6,
DOT,13.0,116.0,11.0,-0.4,-0.09,-0.03,0.8202,0.95,-96.99,1.9,-0.1,-0.25,140.0,-0.03,2:41:00,88.0,52.0,62.9,
DYDX,36.0,100.0,26.0,-1.04,-0.23,-0.06,0.6833,0.92,-98.09,2.45,-0.19,-0.49,162.0,-0.07,2:30:00,103.0,59.0,63.6,
EGLD,19.0,92.0,8.0,4.02,0.88,0.33,0.01145,1.9,-98.92,0.82,1.16,5.72,119.0,0.35,2:22:00,88.0,31.0,73.9,
ENA,21.0,50.0,8.0,2.87,1.3,0.39,0.0743,1.64,-92.2,0.73,1.25,9.48,79.0,0.38,2:25:00,59.0,20.0,74.7,
ETC,24.0,128.0,11.0,2.36,0.52,0.18,0.2211,1.3,-79.51,1.56,0.55,1.76,163.0,0.14,2:45:00,116.0,47.0,71.2,
ETH,6.0,210.0,8.0,-1.19,-0.26,-0.13,0.4557,0.86,-57.18,3.1,-0.35,-0.45,224.0,-0.05,3:11:00,143.0,81.0,63.8,
FIL,25.0,93.0,17.0,0.79,0.17,0.05,0.7166,1.09,-97.91,1.44,0.18,0.64,135.0,0.06,2:35:00,89.0,46.0,65.9,
GALA,38.0,80.0,20.0,1.86,0.41,0.11,0.4303,1.19,-99.51,2.03,0.4,1.07,138.0,0.13,2:17:00,100.0,38.0,72.5,
GRT,24.0,87.0,16.0,0.19,0.04,0.01,0.9293,1.02,-97.3,1.95,0.05,0.11,127.0,0.01,2:34:00,83.0,44.0,65.4,
HBAR,29.0,118.0,14.0,2.57,0.56,0.18,0.2193,1.3,-75.67,2.6,0.58,1.15,161.0,0.16,2:45:00,102.0,59.0,63.4,
ICP,22.0,98.0,20.0,0.06,0.01,0.0,0.979,1.01,-91.31,2.62,0.02,0.03,140.0,0.0,2:37:00,96.0,44.0,68.6,
IMX,37.0,126.0,14.0,3.33,0.76,0.24,0.1329,1.34,-91.81,2.47,0.68,1.63,177.0,0.19,2:52:00,116.0,61.0,65.5,
INJ,42.0,140.0,19.0,5.01,1.29,0.41,0.03715,1.48,220.15,1.08,1.06,6.39,201.0,0.25,2:36:00,137.0,64.0,68.2,
LDO,29.0,92.0,20.0,-1.34,-0.36,-0.1,0.5656,0.88,-78.8,3.09,-0.29,-0.61,141.0,-0.1,3:00:00,85.0,56.0,60.3,
LINK,18.0,171.0,11.0,2.48,0.55,0.22,0.1841,1.32,-63.44,1.55,0.64,1.87,200.0,0.12,2:51:00,139.0,61.0,69.5,
LTC,18.0,185.0,10.0,1.35,0.3,0.13,0.4482,1.16,-71.3,1.77,0.37,0.89,213.0,0.06,2:54:00,145.0,68.0,68.1,
MANA,17.0,111.0,12.0,-0.4,-0.09,-0.03,0.8334,0.95,-98.08,2.34,-0.1,-0.2,140.0,-0.03,2:50:00,89.0,51.0,63.6,
MATIC,,,,,,,,,,,,,,,,,,,"2026-07-28 16:32:18,111 - freqtrade - ERROR - No pair in whitelist."
NEAR,39.0,161.0,21.0,2.79,0.61,0.19,0.2716,1.21,-87.52,2.97,0.53,1.09,221.0,0.13,2:48:00,145.0,76.0,65.6,
ONDO,19.0,66.0,12.0,0.78,0.33,0.1,0.6613,1.12,40.98,1.15,0.29,1.49,97.0,0.08,2:42:00,63.0,34.0,64.9,
ORDI,20.0,57.0,12.0,0.84,0.32,0.09,0.6441,1.14,-80.25,1.62,0.31,1.05,89.0,0.1,2:34:00,63.0,26.0,70.8,
POL,7.0,34.0,5.0,0.41,0.24,0.07,0.7226,1.15,-81.55,1.0,0.3,1.25,46.0,0.09,2:26:00,32.0,14.0,69.6,
RENDER,11.0,65.0,4.0,2.83,1.51,0.58,0.02303,1.97,-66.31,0.59,1.65,13.39,80.0,0.37,2:36:00,56.0,24.0,70.0,
RUNE,,,,,,,,,,,,,,,,,,,"2026-07-28 16:32:22,915 - freqtrade - ERROR - No pair in whitelist."
SAND,24.0,77.0,20.0,-0.9,-0.2,-0.05,0.6825,0.91,-99.22,2.03,-0.2,-0.52,121.0,-0.08,2:25:00,80.0,41.0,66.1,
SEI,32.0,64.0,20.0,0.03,0.01,0.0,0.9902,1.0,-60.93,1.4,0.01,0.04,116.0,0.0,2:08:00,74.0,42.0,63.8,
SOL,21.0,178.0,10.0,4.24,0.93,0.38,0.02367,1.56,-56.85,0.72,1.08,6.88,209.0,0.2,2:49:00,146.0,63.0,69.9,
STX,20.0,91.0,17.0,-0.89,-0.27,-0.08,0.6697,0.9,-79.61,3.48,-0.23,-0.41,128.0,-0.07,2:50:00,82.0,46.0,64.1,
SUI,33.0,97.0,15.0,2.8,0.89,0.27,0.1859,1.33,-29.49,2.25,0.78,2.1,145.0,0.19,2:31:00,96.0,49.0,66.2,
TAO,14.0,54.0,6.0,2.59,1.19,0.38,0.07678,1.73,-46.87,0.97,1.16,6.51,74.0,0.36,2:46:00,55.0,19.0,74.3,
TIA,18.0,45.0,7.0,0.86,0.33,0.1,0.5707,1.19,-92.68,1.25,0.32,1.37,70.0,0.14,2:36:00,42.0,28.0,60.0,
TON,,,,,,,,,,,,,,,,,,,"2026-07-28 16:32:30,012 - freqtrade - ERROR - No pair in whitelist."
TRX,7.0,297.0,12.0,-6.89,-1.58,-0.78,0.0001895,0.46,321.34,6.93,-1.82,-1.16,316.0,-0.22,3:59:00,169.0,147.0,53.5,
