coin,x_exit_signal,x_stop_loss,profit_pct,cagr_pct,sharpe,pval,pf,mkt_change_pct,maxdd_pct,sharpe_d,calmar,trades,avg_profit_pct,dur,wins,losses,win_pct,x_roi
SOL,88,2.0,0.64,0.28,0.16,0.4668,1.24,-63.22,0.74,0.49,1.99,90,0.07,3:16:00,59,31,65.6,
SUI,67,12.0,0.07,0.03,0.01,0.9704,1.01,-64.38,2.31,0.03,0.07,97,0.01,2:46:00,61,36,62.9,18.0
NEAR,77,13.0,-2.24,-1.0,-0.29,0.233,0.73,-74.97,3.12,-0.81,-1.68,104,-0.22,3:12:00,58,46,55.8,14.0
ADA,48,7.0,0.61,0.27,0.09,0.6512,1.17,-77.79,1.08,0.3,1.32,66,0.1,2:33:00,46,20,69.7,11.0
LINK,71,4.0,1.77,0.79,0.32,0.1506,1.55,-61.94,0.51,1.0,8.11,86,0.21,2:50:00,57,29,66.3,11.0
XRP,69,5.0,0.74,0.33,0.12,0.5845,1.18,65.81,0.7,0.39,2.48,84,0.09,2:58:00,52,32,61.9,10.0
INJ,63,8.0,1.42,0.63,0.2,0.3562,1.31,-87.31,1.11,0.62,2.96,84,0.17,2:48:00,55,29,65.5,13.0
EGLD,34,4.0,1.7,0.75,0.25,0.1266,1.83,-95.66,0.84,0.99,4.74,46,0.38,2:13:00,35,11,76.1,8.0
IMX,49,7.0,0.42,0.19,0.06,0.7689,1.1,-96.08,1.44,0.2,0.69,70,0.06,2:49:00,44,26,62.9,14.0
CHZ,71,6.0,1.54,0.68,0.24,0.2838,1.35,-87.43,1.63,0.72,2.19,92,0.17,3:07:00,60,32,65.2,15.0
ATOM,54,5.0,0.28,0.12,0.04,0.8266,1.08,-87.66,1.22,0.15,0.53,66,0.04,3:08:00,45,21,68.2,7.0
ETC,55,3.0,1.57,0.69,0.27,0.1643,1.6,-79.39,0.73,1.1,4.97,67,0.24,2:55:00,48,19,71.6,9.0
HBAR,53,4.0,2.83,1.25,0.43,0.03587,1.86,-38.57,0.66,1.39,10.08,75,0.38,2:52:00,49,26,65.3,18.0
BTC,136,2.0,0.63,0.28,0.2,0.4684,1.24,-16.04,0.94,0.6,1.57,139,0.05,3:01:00,94,45,67.6,1.0
ETH,105,,0.52,0.23,0.15,0.5275,1.18,-56.09,0.64,0.54,1.9,108,0.05,3:18:00,69,39,63.9,3.0
